EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
09/10/2024 00:00,1.1035,1.10351,1.1027,1.10304,-4.6,-0.04,
09/09/2024 23:00,1.10369,1.1039,1.1033,1.1033,-3.9,-0.04,
09/09/2024 22:00,1.10355,1.1042,1.10336,1.10371,1.6,0.01,
09/09/2024 21:00,1.10322,1.10374,1.10322,1.10371,4.9,0.04,
09/09/2024 20:00,1.10384,1.10395,1.10336,1.10352,-3.2,-0.03,
09/09/2024 19:00,1.10428,1.10432,1.10373,1.1038,-4.8,-0.04,
09/09/2024 18:00,1.10434,1.10464,1.10414,1.1043,-0.4,0.00,
09/09/2024 17:00,1.10488,1.1054,1.10433,1.10437,-5.1,-0.05,
09/09/2024 16:00,1.10414,1.10511,1.10411,1.10489,7.5,0.07,
09/09/2024 15:00,1.10422,1.10448,1.10354,1.10415,-0.7,-0.01,
09/09/2024 14:00,1.10472,1.10472,1.10342,1.10418,-5.4,-0.05,
09/09/2024 13:00,1.10399,1.10523,1.10396,1.10473,7.4,0.07,
09/09/2024 12:00,1.10444,1.10493,1.10379,1.10391,-5.3,-0.05,
09/09/2024 11:00,1.10405,1.10449,1.10354,1.10449,4.4,0.04,
09/09/2024 10:00,1.10562,1.10564,1.10367,1.10401,-16.1,-0.15,
09/09/2024 09:00,1.10475,1.1059,1.10454,1.10564,8.9,0.08,
09/09/2024 08:00,1.10591,1.10626,1.10454,1.10478,-11.3,-0.10,
09/09/2024 07:00,1.10644,1.10663,1.10547,1.10594,-5.0,-0.05,
09/09/2024 06:00,1.10689,1.10721,1.10607,1.10644,-4.5,-0.04,
09/09/2024 05:00,1.10757,1.10761,1.10686,1.10688,-6.9,-0.06,
09/09/2024 04:00,1.10797,1.10805,1.10742,1.10755,-4.2,-0.04,
09/09/2024 03:00,1.10809,1.10818,1.10787,1.10796,-1.3,-0.01,
09/09/2024 02:00,1.1082,1.10835,1.10803,1.10805,-1.5,-0.01,
09/09/2024 01:00,1.10829,1.10911,1.1081,1.10818,-1.1,-0.01,
09/09/2024 00:00,1.10868,1.10913,1.10821,1.10834,-3.4,-0.03,
09/08/2024 23:00,1.10868,1.10909,1.10863,1.10865,-0.3,0.00,
09/08/2024 22:00,1.1082,1.10906,1.1082,1.10868,4.8,0.04,
09/08/2024 21:00,1.1077,1.10842,1.10769,1.10819,4.9,0.04,
09/06/2024 20:00,1.10882,1.1089,1.1078,1.10803,-7.9,-0.07,
09/06/2024 19:00,1.10867,1.109,1.1081,1.1088,1.3,0.01,
09/06/2024 18:00,1.1084,1.1088,1.1077,1.10864,2.4,0.02,
09/06/2024 17:00,1.10769,1.109,1.1068,1.10841,7.2,0.06,
09/06/2024 16:00,1.10857,1.1086,1.1068,1.10752,-10.5,-0.09,
09/06/2024 15:00,1.11014,1.11339,1.1082,1.10854,-16.0,-0.14,
09/06/2024 14:00,1.10834,1.11129,1.1072,1.1101,17.6,0.16,
09/06/2024 13:00,1.112,1.11256,1.10646,1.10791,-40.9,-0.37,
09/06/2024 12:00,1.11071,1.11555,1.10774,1.11205,13.4,0.12,
09/06/2024 11:00,1.11071,1.1111,1.1101,1.11079,0.8,0.01,
09/06/2024 10:00,1.11133,1.1114,1.1106,1.11071,-6.2,-0.06,
09/06/2024 09:00,1.11171,1.1118,1.1106,1.11123,-4.8,-0.04,
09/06/2024 08:00,1.11156,1.11207,1.1111,1.11176,2.0,0.02,
09/06/2024 07:00,1.11206,1.11206,1.1109,1.11146,-6.0,-0.05,
09/06/2024 06:00,1.11166,1.1121,1.1113,1.11207,4.1,0.04,
09/06/2024 05:00,1.11158,1.112,1.1112,1.11167,0.9,0.01,
09/06/2024 04:00,1.1115,1.1118,1.1112,1.11154,0.4,0.00,
09/06/2024 03:00,1.11111,1.1117,1.1109,1.11155,4.4,0.04,
09/06/2024 02:00,1.11107,1.1114,1.1108,1.1111,0.3,0.00,
09/06/2024 01:00,1.1113,1.1114,1.1108,1.11114,-1.6,-0.01,
09/06/2024 00:00,1.11115,1.11147,1.11093,1.1113,1.5,0.01,
09/05/2024 23:00,1.11094,1.11127,1.1107,1.11114,2.0,0.02,
09/05/2024 22:00,1.11091,1.1115,1.11062,1.11085,-0.6,-0.01,
09/05/2024 21:00,1.11061,1.11116,1.11059,1.11089,2.8,0.03,
09/05/2024 20:00,1.11036,1.11115,1.11036,1.11105,6.9,0.06,
09/05/2024 19:00,1.11041,1.1108,1.11027,1.11037,-0.4,0.00,
09/05/2024 18:00,1.11069,1.11136,1.11024,1.11043,-2.6,-0.02,
09/05/2024 17:00,1.1101,1.11076,1.10993,1.11066,5.6,0.05,
09/05/2024 16:00,1.1095,1.11054,1.1095,1.11008,5.8,0.05,
09/05/2024 15:00,1.10799,1.10956,1.1078,1.10952,15.3,0.14,
09/05/2024 14:00,1.11052,1.11052,1.10763,1.10801,-25.1,-0.23,
09/05/2024 13:00,1.10926,1.11082,1.10902,1.11052,12.6,0.11,
09/05/2024 12:00,1.10953,1.11199,1.10869,1.10921,-3.2,-0.03,
09/05/2024 11:00,1.10986,1.11082,1.10929,1.10953,-3.3,-0.03,
09/05/2024 10:00,1.1095,1.10999,1.1092,1.10991,4.1,0.04,
09/05/2024 09:00,1.10991,1.11004,1.10925,1.10944,-4.7,-0.04,
09/05/2024 08:00,1.10869,1.11004,1.1084,1.10987,11.8,0.11,
09/05/2024 07:00,1.10837,1.10907,1.10797,1.10872,3.5,0.03,
09/05/2024 06:00,1.108,1.10884,1.1079,1.10841,4.1,0.04,
09/05/2024 05:00,1.10769,1.10807,1.1075,1.10806,3.7,0.03,
09/05/2024 04:00,1.1077,1.1079,1.1073,1.10768,-0.2,0.00,
09/05/2024 03:00,1.1078,1.1081,1.1074,1.10767,-1.3,-0.01,
09/05/2024 02:00,1.10789,1.10835,1.1077,1.10798,0.9,0.01,
09/05/2024 01:00,1.10789,1.10856,1.1076,1.10788,-0.1,0.00,
09/05/2024 00:00,1.10793,1.1082,1.1074,1.1078,-1.3,-0.01,
09/04/2024 23:00,1.10842,1.1085,1.1078,1.10805,-3.7,-0.03,
09/04/2024 22:00,1.10813,1.1086,1.1081,1.10839,2.6,0.02,
09/04/2024 21:00,1.10794,1.1086,1.1075,1.108,0.6,0.01,
09/04/2024 20:00,1.10781,1.1084,1.1074,1.10822,4.1,0.04,
09/04/2024 19:00,1.10759,1.1083,1.1073,1.10779,2.0,0.02,
09/04/2024 18:00,1.10662,1.1078,1.1064,1.10761,9.9,0.09,
09/04/2024 17:00,1.10843,1.1086,1.1064,1.10661,-18.2,-0.16,
09/04/2024 16:00,1.10803,1.1087,1.1074,1.10842,3.9,0.04,
09/04/2024 15:00,1.10897,1.1092,1.1076,1.10802,-9.5,-0.09,
09/04/2024 14:00,1.10562,1.10951,1.1056,1.10912,35.0,0.32,
09/04/2024 13:00,1.10518,1.1059,1.1048,1.10563,4.5,0.04,
09/04/2024 12:00,1.10503,1.10528,1.1039,1.10526,2.3,0.02,
09/04/2024 11:00,1.10526,1.1054,1.10418,1.10493,-3.3,-0.03,
09/04/2024 10:00,1.1053,1.1056,1.1048,1.10526,-0.4,0.00,
09/04/2024 09:00,1.10518,1.10586,1.1049,1.10538,2.0,0.02,
09/04/2024 08:00,1.10558,1.1059,1.1048,1.1052,-3.8,-0.03,
